district_id,kecamatan_name,kabupaten_name,provinsi_name,numVisit
1272001,Siantar Timur,Kota Pematangsiantar,Sumatera Utara,416
7371005,Wajo,Kota Makassar,Sulawesi Selatan,409
3216008,Cikarang Barat,Bekasi,Jawa Barat,409
7309014,Turikale,Maros,Sulawesi Selatan,409
3204010,Margaasih,Bandung,Jawa Barat,405
3275005,Rawalumbu,Kota Bekasi,Jawa Barat,405
7210014,Marawola,Sigi,Sulawesi Tengah,403
3201037,Tajurhalang,Bogor,Jawa Barat,397
3201012,Kemang,Bogor,Jawa Barat,395
3216009,Cikarang Utara,Bekasi,Jawa Barat,386
3173007,Pal Merah,Kota Administrasi Jakarta Barat,DKI Jakarta,382
3217009,Batujajar,Bandung Barat,Jawa Barat,369
3276011,Bojongsari,Kota Depok,Jawa Barat,369
3273022,Buahbatu,Kota Bandung,Jawa Barat,368
1271015,Medan Maimun,Kota Medan,Sumatera Utara,361
3273021,Bandung Kidul,Kota Bandung,Jawa Barat,356
3173003,Taman Sari,Kota Administrasi Jakarta Barat,DKI Jakarta,355
7306012,Barombong,Gowa,Sulawesi Selatan,353
1210001,Rantau Utara,Labuhanbatu,Sumatera Utara,352
1207028,Lubuk Pakam,Deli Serdang,Sumatera Utara,348
1207027,Batang Kuis,Deli Serdang,Sumatera Utara,345
3171004,Senen,Kota Administrasi Jakarta Pusat,DKI Jakarta,341
1275004,Binjai Timur,Kota Binjai,Sumatera Utara,338
3273015,Bandung Kulon,Kota Bandung,Jawa Barat,336
3171002,Sawah Besar,Kota Administrasi Jakarta Pusat,DKI Jakarta,333
1271013,Medan Labuhan,Kota Medan,Sumatera Utara,328
3204008,Bojongsoang,Bandung,Jawa Barat,327
3275011,Mustikajaya,Kota Bekasi,Jawa Barat,324
3204037,Soreang,Bandung,Jawa Barat,323
3603022,Pagedangan,Tangerang,Banten,321
3273023,Rancasari,Kota Bandung,Jawa Barat,320
7306006,Bontomarannu,Gowa,Sulawesi Selatan,320
3204014,Pameungpeuk,Bandung,Jawa Barat,318
3172005,Pademangan,Kota Administrasi Jakarta Utara,DKI Jakarta,318
3215001,Karawang Barat,Karawang,Jawa Barat,317
3671003,Batuceper,Kota Tangerang,Banten,317
3216001,Tarumajaya,Bekasi,Jawa Barat,311
3603012,Pasar Kemis,Tangerang,Banten,307
3273007,Sukajadi,Kota Bandung,Jawa Barat,305
1209009,Air Joman,Asahan,Sumatera Utara,303
1210002,Rantau Selatan,Labuhanbatu,Sumatera Utara,299
7309013,Moncong Loe,Maros,Sulawesi Selatan,299
3201010,Parung,Bogor,Jawa Barat,296
3276003,Sawangan,Kota Depok,Jawa Barat,295
3204035,Paseh,Bandung,Jawa Barat,292
1275001,Binjai Utara,Kota Binjai,Sumatera Utara,287
3273017,Bojongloa Kidul,Kota Bandung,Jawa Barat,287
